file,age,gender,race,service_test
27327,1,1,2,FALSE
63584,0,0,1,FALSE
35860,6,0,4,TRUE
83767,4,1,2,TRUE
66866,1,0,3,FALSE
46466,7,1,0,FALSE
77714,1,1,4,TRUE
19719,6,1,1,TRUE
81363,2,1,4,TRUE
82832,1,0,0,FALSE
77174,6,0,6,TRUE
67077,5,0,1,TRUE
5959,2,1,6,TRUE
81573,7,0,0,FALSE
20903,5,0,5,FALSE
28010,6,1,0,FALSE
70562,4,1,5,TRUE
86308,6,1,4,FALSE
53261,7,1,5,FALSE
3444,3,0,2,FALSE
80362,7,0,3,TRUE
74110,7,0,1,FALSE
37921,1,0,3,FALSE
34064,3,1,4,TRUE
13329,0,0,3,FALSE
61858,7,0,3,FALSE
52464,3,0,5,TRUE
8301,7,1,0,FALSE
29144,7,0,6,FALSE
67747,1,0,4,TRUE
8935,1,0,2,FALSE
60669,4,1,4,TRUE
53511,2,1,1,TRUE
55464,1,0,0,TRUE
83231,0,0,1,FALSE
47550,6,1,6,TRUE
2621,3,0,6,TRUE
40687,0,1,2,TRUE
4887,0,0,1,FALSE
79720,5,1,5,TRUE
21149,6,0,6,FALSE
39324,2,0,5,FALSE
30594,6,0,4,TRUE
16767,7,1,4,TRUE
28978,7,0,0,TRUE
35892,4,1,1,FALSE
48349,1,0,3,FALSE
54683,4,0,6,FALSE
70728,6,1,4,FALSE
52325,4,0,5,FALSE
17198,6,1,1,FALSE
58621,7,0,2,TRUE
23845,4,1,0,FALSE
23118,6,1,0,FALSE
12136,7,1,1,TRUE
28763,6,0,2,FALSE
46737,6,1,0,FALSE
47170,4,0,6,FALSE
67865,0,0,6,FALSE
84140,5,1,5,FALSE
11434,4,1,4,FALSE
67482,4,1,3,FALSE
46723,6,0,6,FALSE
57357,4,0,5,TRUE
4180,1,0,5,TRUE
77224,3,1,1,TRUE
15070,6,1,0,FALSE
136,6,0,2,FALSE
31839,6,1,5,TRUE
85314,1,0,5,TRUE
15306,6,1,0,FALSE
74460,2,0,1,TRUE
57008,4,1,4,FALSE
46843,1,0,3,FALSE
50608,6,1,0,TRUE
16155,6,0,6,FALSE
35885,1,1,2,TRUE
40567,4,1,1,FALSE
45490,7,1,2,FALSE
51908,5,1,2,FALSE
21793,1,0,1,TRUE
68228,1,1,2,FALSE
43822,5,1,1,FALSE
63143,3,1,1,FALSE
82580,3,0,1,TRUE
45664,6,0,6,FALSE
34857,6,1,4,FALSE
16644,5,1,3,TRUE
60915,6,0,4,TRUE
78687,1,1,1,FALSE
30983,5,0,4,TRUE
45547,0,0,3,FALSE
38917,4,1,1,FALSE
75258,2,0,3,FALSE
78736,2,1,5,TRUE
27461,3,0,0,TRUE
56974,7,0,4,TRUE
42345,7,1,0,FALSE
53692,1,1,1,FALSE
70585,1,0,3,TRUE
7862,0,1,5,FALSE
83472,3,1,1,FALSE
39825,5,1,0,FALSE
48770,2,0,4,TRUE
47417,1,0,1,FALSE
70794,0,0,6,FALSE
59709,1,1,1,FALSE
14017,7,1,4,TRUE
54720,1,1,1,FALSE
29622,1,1,6,TRUE
49492,4,0,6,TRUE
60115,6,0,2,FALSE
71483,4,0,5,FALSE
65918,7,0,5,FALSE
58715,6,0,6,FALSE
67673,3,1,1,TRUE
5501,2,1,6,TRUE
35795,5,1,5,FALSE
4720,0,0,5,TRUE
83557,3,1,6,TRUE
39867,1,1,6,FALSE
76357,3,0,1,FALSE
83430,7,1,3,FALSE
62400,6,1,1,TRUE
28158,1,0,2,FALSE
16467,4,0,4,TRUE
17042,3,1,4,FALSE
84750,6,0,1,TRUE
53525,3,1,4,TRUE
33732,6,0,2,FALSE
39019,0,0,5,FALSE
42132,1,1,3,FALSE
80299,1,1,3,TRUE
15485,4,1,5,FALSE
31305,7,1,2,FALSE
75238,0,1,6,FALSE
32756,0,0,3,TRUE
7168,6,0,0,TRUE
53523,7,0,5,FALSE
5460,5,0,4,TRUE
14345,6,0,0,TRUE
8996,1,0,4,TRUE
40508,0,0,2,FALSE
76724,3,0,3,FALSE
5873,6,0,0,TRUE
26538,4,0,0,TRUE
13558,5,0,1,TRUE
62399,1,1,5,FALSE
85310,4,1,2,FALSE
9400,6,0,2,TRUE
2180,2,0,4,TRUE
74258,6,0,3,FALSE
6607,0,1,0,FALSE
9316,7,0,2,FALSE
9216,6,0,6,FALSE
36168,0,1,0,FALSE
69261,1,1,4,FALSE
58052,7,1,0,TRUE
6957,0,0,3,FALSE
85455,2,0,0,TRUE
39895,1,0,4,TRUE
17523,0,1,4,FALSE
11960,5,1,5,FALSE
36977,4,0,0,FALSE
43019,5,1,5,TRUE
46919,1,0,2,FALSE
4452,4,0,3,TRUE
81919,3,0,4,TRUE
38839,1,0,6,FALSE
32189,2,0,2,FALSE
18097,2,0,3,FALSE
76574,3,0,6,FALSE
57179,2,1,3,FALSE
31330,4,0,5,FALSE
868,0,0,2,FALSE
80943,2,0,5,FALSE
61737,4,0,6,FALSE
55988,5,0,1,TRUE
16983,6,1,1,TRUE
3326,2,0,3,TRUE
6512,3,1,4,TRUE
16174,6,0,4,TRUE
54473,5,0,6,TRUE
66756,5,1,5,FALSE
25097,5,1,6,TRUE
48430,7,0,5,FALSE
48517,1,0,5,TRUE
1925,7,0,3,FALSE
65279,0,1,4,FALSE
16040,7,0,1,TRUE
63593,6,1,6,FALSE
7635,2,0,2,FALSE
76389,3,0,2,FALSE
10796,6,0,6,TRUE
13919,5,0,1,TRUE
29562,6,0,5,FALSE
70015,3,0,5,TRUE
25541,5,1,2,TRUE
27521,3,0,4,TRUE
21132,2,0,0,FALSE
85916,4,0,0,TRUE
53321,4,0,2,TRUE
7525,7,1,4,FALSE
29836,7,0,3,FALSE
54225,3,1,0,TRUE
62455,0,1,5,FALSE
48101,7,1,4,FALSE
16210,7,0,4,TRUE
24876,3,1,2,TRUE
30255,4,0,5,TRUE
75295,1,0,0,FALSE
51762,3,0,3,TRUE
85405,6,0,6,TRUE
71172,2,0,3,FALSE
24280,4,0,1,FALSE
52534,7,0,3,TRUE
7214,4,1,5,TRUE
62649,2,0,5,TRUE
829,4,0,4,TRUE
5576,6,1,6,FALSE
18646,6,1,5,FALSE
62267,0,1,4,FALSE
14349,2,1,1,TRUE
48470,4,1,5,FALSE
68096,3,0,0,TRUE
84559,7,1,2,FALSE
66629,4,1,0,TRUE
41703,7,0,1,TRUE
16038,5,0,5,TRUE
31074,0,1,4,FALSE
38822,1,0,0,FALSE
53019,1,1,3,TRUE
7614,5,0,3,FALSE
1954,3,1,4,FALSE
81020,2,0,5,TRUE
56840,0,1,6,FALSE
33890,7,0,3,FALSE
49090,2,1,6,TRUE
74382,4,1,4,FALSE
73877,6,1,0,TRUE
15435,4,0,4,TRUE
86049,1,1,5,TRUE
50327,2,0,3,TRUE
84723,7,0,0,FALSE
52020,6,1,6,TRUE
48125,5,0,1,TRUE
43532,3,1,2,FALSE
42873,3,0,4,TRUE
62173,4,0,4,TRUE
31156,6,0,3,FALSE
3705,0,0,2,FALSE
47620,2,1,6,TRUE
71579,2,1,0,FALSE
49837,1,1,0,FALSE
3781,1,1,4,TRUE
54450,4,1,1,FALSE
15604,7,0,1,TRUE
21237,2,1,4,TRUE
54433,0,0,3,TRUE
11845,6,1,2,FALSE
22393,6,0,4,TRUE
51108,5,1,2,FALSE
6525,6,0,1,TRUE
47784,6,1,2,TRUE
47235,4,1,5,TRUE
68202,7,0,6,TRUE
26149,6,1,3,FALSE
70563,0,1,6,FALSE
6469,7,1,6,FALSE
29972,1,0,1,FALSE
68103,3,1,2,TRUE
60592,5,1,3,TRUE
48239,1,1,5,TRUE
77648,0,1,3,TRUE
37945,3,1,4,TRUE
46981,3,1,1,TRUE
9035,2,1,4,TRUE
83236,7,0,1,TRUE
12247,0,0,6,FALSE
17041,3,1,1,FALSE
49766,1,0,1,FALSE
82148,1,1,0,FALSE
20424,6,1,3,TRUE
30669,5,0,2,FALSE
83244,3,1,1,TRUE
86188,1,0,6,TRUE
54326,5,1,1,FALSE
5086,0,1,2,TRUE
17157,6,1,2,FALSE
48229,0,1,6,FALSE
60265,3,0,6,FALSE
28050,4,0,5,TRUE
50680,4,0,3,FALSE
11820,1,1,4,FALSE
32167,5,1,4,FALSE
83407,1,0,3,FALSE
82488,4,1,1,TRUE
72821,2,0,0,FALSE
62996,7,1,1,TRUE
45881,5,0,3,FALSE
28692,1,1,6,TRUE
28570,0,0,5,TRUE
55838,0,0,6,FALSE
83681,7,1,6,FALSE
1132,0,0,0,FALSE
22740,0,0,1,FALSE
42490,1,0,4,TRUE
57068,5,1,0,FALSE
8991,6,0,1,FALSE
55817,3,1,5,TRUE
41371,6,1,4,FALSE
32949,7,0,1,TRUE
348,0,0,6,FALSE
2335,2,0,4,TRUE
28126,1,1,0,TRUE
28344,5,0,4,TRUE
49315,5,1,0,FALSE
36306,3,1,6,TRUE
38974,5,0,4,TRUE
84692,7,0,5,TRUE
50157,2,1,6,FALSE
53044,6,1,1,FALSE
47206,0,0,1,FALSE
61120,7,0,3,FALSE
24027,2,1,4,TRUE
10116,3,0,3,TRUE
17009,5,1,2,FALSE
10317,7,1,3,FALSE
83372,3,0,6,TRUE
17485,2,0,1,TRUE
20120,3,1,5,FALSE
15806,6,0,6,FALSE
54576,2,0,3,FALSE
65788,5,0,1,TRUE
62526,5,1,1,TRUE
70011,0,1,6,TRUE
7110,4,0,4,TRUE
52359,2,0,0,FALSE
19568,5,0,6,FALSE
56565,3,1,1,FALSE
40148,3,1,1,FALSE
18177,6,0,1,TRUE
83076,1,0,0,TRUE
68383,3,1,5,TRUE
48969,0,1,4,FALSE
30663,3,1,1,TRUE
7358,6,0,6,FALSE
4426,1,1,2,TRUE
57303,4,1,2,FALSE
69877,4,0,2,FALSE
20724,4,1,6,FALSE
69074,0,0,3,FALSE
86015,5,1,1,TRUE
7053,0,0,0,TRUE
23098,1,1,0,FALSE
66234,7,0,1,TRUE
26391,6,1,4,FALSE
79511,5,0,4,TRUE
43768,7,0,1,FALSE
60174,6,0,6,TRUE
26066,1,1,6,FALSE
35075,0,1,2,TRUE
54953,3,1,5,TRUE
60911,4,0,4,TRUE
38340,7,1,0,TRUE
72945,7,0,6,FALSE
71501,0,1,5,TRUE
61356,3,1,6,FALSE
62,2,1,2,TRUE
590,6,0,5,FALSE
40517,2,0,1,TRUE
72336,1,0,5,TRUE
16739,3,1,5,FALSE
6674,3,1,1,TRUE
45817,2,0,5,FALSE
82653,6,1,3,FALSE
67293,1,1,3,FALSE
72555,4,1,4,FALSE
69066,3,0,4,TRUE
63347,0,0,0,FALSE
4354,5,0,4,TRUE
67902,6,0,5,TRUE
